TRANSACTION_AMT,OCCUPATION,CMTE_NM,CMTE_PTY_AFFILIATION
67500,MEMBER OF CONGRESS,FRIENDS OF JOHN DELANEY,DEM
66800,"NON PROFIT, DIRECTOR",DNC SERVICES CORP./DEM. NAT'L COMMITTEE,DEM
33400,RETIRED,DSCC,DEM
33400,FOUNDER,DNC SERVICES CORP./DEM. NAT'L COMMITTEE,DEM
33400,EXECUTIVE,DNC SERVICES CORP./DEM. NAT'L COMMITTEE,DEM
32400,RETIRED,DNC SERVICES CORP./DEM. NAT'L COMMITTEE,DEM
32400,RETIRED,DSCC,DEM
32400,INVESTMENT MANAGEMENT,DSCC,DEM
32400,GOVERNMENT AFFAIRS,DSCC,DEM
32400,EXECUTIVE,DCCC,DEM
28000,GOVERNMENT RELATIONS,DSCC,DEM
20000,PROFESSIONAL ATHLETE,DNC SERVICES CORP./DEM. NAT'L COMMITTEE,DEM
17000,IT,DNC SERVICES CORP./DEM. NAT'L COMMITTEE,DEM
15000,PARTNER,DSCC,DEM
13400,MEDIATOR,DNC SERVICES CORP./DEM. NAT'L COMMITTEE,DEM
10000,SMALL BUSINESS OWNER,DNC SERVICES CORP./DEM. NAT'L COMMITTEE,DEM
10000,PROFESSIONAL ATHLETE,DNC SERVICES CORP./DEM. NAT'L COMMITTEE,DEM
10000,PRINCIPAL,DSCC,DEM
10000,PRINCIPAL,DSCC,DEM
10000,MEDIATOR,DNC SERVICES CORP./DEM. NAT'L COMMITTEE,DEM
10000,MEDIATOR,DNC SERVICES CORP./DEM. NAT'L COMMITTEE,DEM
10000,MAYOR,DEMOCRATIC STATE CENTRAL COMMITTEE OF MARYLAND,DEM
10000,MANAGING PARTNER,WYDEN FOR SENATE,DEM
10000,EDUCATIONAL CONSULTANT,DSCC,DEM
7500,VOLUNTEER ADMIN/HOMEMAKER,DNC SERVICES CORP./DEM. NAT'L COMMITTEE,DEM
7500,GOVERNMENT RELATIONS,DSCC,DEM
7000,N/A,STRAIT FOR CONGRESS,DEM
5400,TEACHER,BENNET FOR COLORADO,DEM
5400,SVP,PATEL FOR IOWA,DEM
5400,SOCIAL WORKER,HILLARY FOR AMERICA,DEM
5400,REALESTATE,PATEL FOR IOWA,DEM
5400,PHYSICIAN,BENNET FOR COLORADO,DEM
5400,MANAGEMENT,PATEL FOR IOWA,DEM
5400,JOURNALIST,BENNET FOR COLORADO,DEM
5400,HOTEL MANAGER,PATEL FOR IOWA,DEM
5400,HOMEMAKER,PATEL FOR IOWA,DEM
5000,VOLUNTEER ADMIN/HOMEMAKER,DNC SERVICES CORP./DEM. NAT'L COMMITTEE,DEM
5000,RETIRED MARRIAGE AND FAMILY THERAPIST,DNC SERVICES CORP./DEM. NAT'L COMMITTEE,DEM
5000,RETIRED,DNC SERVICES CORP./DEM. NAT'L COMMITTEE,DEM
5000,RETIRED,DSCC,DEM
5000,RETIRED,DSCC,DEM
5000,RETIRED,DNC SERVICES CORP./DEM. NAT'L COMMITTEE,DEM
5000,PARTNER,IMPACT,DEM
5000,PARTNER,DSCC,DEM
5000,PARTNER,DCCC,DEM
5000,OFFICE WORKER,LYNDON LAROUCHE POLITICAL ACTION COMMITTEE,DEM
5000,GOVERNMENT RELATIONS,DSCC,DEM
5000,GOVERNMENT RELATIONS,DCCC,DEM
4500,FOUNDER & CHAIRMAN,DEMOCRATIC PARTY OF VIRGINIA,DEM
4000,VICE PRESIDENT,FEINSTEIN FOR SENATE 2018,DEM
3000,RETIRED,VERMONT DEMOCRATIC PARTY,DEM
3000,IT,DNC SERVICES CORP./DEM. NAT'L COMMITTEE,DEM
2700,WRITER,JAMIE RASKIN FOR CONGRESS,DEM
2700,WRITER,HILLARY FOR AMERICA,DEM
2700,"VP, NATIONAL SECURITY PROGRAMS",HILLARY FOR AMERICA,DEM
2700,VOLUNTEER,HILLARY FOR AMERICA,DEM
2700,VOLUNTEER,WYDEN FOR SENATE,DEM
2700,VICE-PRESIDENT,HILLARY FOR AMERICA,DEM
2700,"VICE PRESIDENT, INTERNATIONAL GOVERNME",HILLARY FOR AMERICA,DEM
2700,VICE PRESIDENT FOR PUBLIC POLICY AND A,HILLARY FOR AMERICA,DEM
2700,VICE PRESIDENT,DONNA EDWARDS FOR SENATE,DEM
2700,VICE PRESIDENT,DONNA EDWARDS FOR SENATE,DEM
2700,VICE PRESIDENT,JAMIE RASKIN FOR CONGRESS,DEM
2700,VICE PRESIDENT,HILLARY FOR AMERICA,DEM
2700,VICE PRESIDENT,HILLARY FOR AMERICA,DEM
2700,VICE PRESIDENT,HILLARY FOR AMERICA,DEM
2700,VICE PRESIDENT,HILLARY FOR AMERICA,DEM
2700,VICE PRESIDENT,HILLARY FOR AMERICA,DEM
2700,VICE PRESIDENT,WYDEN FOR SENATE,DEM
2700,VICE CHAIRMAN,FRIENDS OF JOHN SARBANES,DEM
2700,VICE CHAIRMAN,FRIENDS OF JOHN SARBANES,DEM
2700,VICE CHAIRMAN,HILLARY FOR AMERICA,DEM
2700,VICE CHAIRMAN,HILLARY FOR AMERICA,DEM
2700,VICE CHAIRMAN,HILLARY FOR AMERICA,DEM
2700,VENTURE CAPITALIST,HILLARY FOR AMERICA,DEM
2700,UNIT LEADER,DUTCH RUPPERSBERGER FOR CONGRESS COMMITTEE,DEM
2700,U.S. ARMY DOCTOR,HILLARY FOR AMERICA,DEM
2700,TREASURER OF THE UNITED STATES,HILLARY FOR AMERICA,DEM
2700,TECHNOLOGY AND RENEWABLE ENERGY,TULSI FOR HAWAI'I,DEM
2700,TECHNOLOGY AND RENEWABLE ENERGY,TULSI FOR HAWAI'I,DEM
2700,TEACHER,KATHLEEN MATTHEWS FOR CONGRESS,DEM
2700,TEACHER,BENNET FOR COLORADO,DEM
2700,SVP,PATEL FOR IOWA,DEM
2700,SUBSTITUE TEACHER,HILLARY FOR AMERICA,DEM
2700,STUDENT,HILLARY FOR AMERICA,DEM
2700,STUDENT,HILLARY FOR AMERICA,DEM
2700,STUDENT,HILLARY FOR AMERICA,DEM
